Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,index,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Normal,Dog,Intact Female,1,others,Intact Female,1,0.0,823,PM,2018-01-02,0.21691973969631237,0.54,Quarter 1,5.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,824,PM,2014-07-03,0.38461538461538464,0.54,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,72,Pit Bull Mix,Spayed Female,72,1.0,825,AM,2014-01-25,1.5384615384615385,1.0,Quarter 1,6.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4,others,Intact Female,5,0.0,826,AM,2019-05-11,0.21691973969631237,0.6,Quarter 2,3.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,24,0.0,827,PM,2019-01-09,0.38461538461538464,0.54,Quarter 1,5.0
Travis (TX),Stray,Nursing,Dog,Intact Female,24,Pit Bull,Spayed Female,24,0.0,828,AM,2016-05-21,14.285714285714285,0.43200000000000005,Quarter 2,283.0
Austin (TX),Owner Surrender,Sick,Cat,Spayed Female,7,Domestic Shorthair Mix,Spayed Female,7,0.0,829,PM,2019-01-18,0.38461538461538464,0.2,Quarter 1,0.0
Austin (TX),Stray,Normal,Dog,Neutered Male,60,Chihuahua Shorthair Mix,Neutered Male,60,0.0,830,PM,2017-08-02,1.694915254237288,0.9,Quarter 2,14.0
Austin (TX),Owner Surrender,Sick,Dog,Neutered Male,1,Pit Bull Mix,Neutered Male,1,0.0,831,AM,2016-12-11,1.5384615384615385,0.2,Quarter 3,19.0
Austin (TX),Public Assist,Nursing,Dog,Intact Female,1,others,Intact Female,1,0.0,832,PM,2019-07-06,0.21691973969631237,0.384,Quarter 2,10.0
Austin (TX),Public Assist,Sick,Cat,Intact Male,1,others,Intact Male,1,0.0,833,AM,2016-08-13,0.21691973969631237,0.096,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,48,Pit Bull Mix,Spayed Female,48,0.0,834,PM,2017-08-24,1.5384615384615385,1.0,Quarter 2,12.0
Austin (TX),Stray,Normal,Cat,Unknown,1,Domestic Shorthair Mix,Unknown,1,0.0,835,AM,2015-09-10,0.38461538461538464,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Injured,Cat,Intact Female,2,others,Spayed Female,6,0.0,836,PM,2019-05-11,0.21691973969631237,0.10800000000000001,Quarter 2,98.0
Austin (TX),Stray,Normal,Dog,Intact Female,1,others,Spayed Female,2,0.0,837,AM,2019-12-09,0.21691973969631237,0.54,Quarter 3,5.0
Travis (TX),Owner Surrender,Normal,Cat,Neutered Male,1,Domestic Shorthair Mix,Neutered Male,1,0.0,838,AM,2017-04-25,0.38461538461538464,1.0,Quarter 1,57.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2,others,Spayed Female,2,0.0,839,PM,2018-07-10,0.21691973969631237,0.6,Quarter 2,3.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1,Domestic Medium Hair Mix,Neutered Male,1,0.0,840,PM,2014-07-15,2.857142857142857,0.6,Quarter 2,50.0
