Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Normal,Intact Female,24,Cat,Intact Female,24,Domestic Medium Hair,0.0,PM,2017-12-02,0.32786885245901637,0.54,Quarter 3,26.0
Austin (TX),Stray,Nursing,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2018-05-20,0.32786885245901637,0.43200000000000005,Quarter 2,35.0
Manor (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2015-09-29,1.0101010101010102,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Female,2,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2019-10-02,0.32786885245901637,0.54,Quarter 3,20.0
Austin (TX),Stray,Normal,Intact Male,36,Dog,Neutered Male,36,American Staffordshire Terrier,0.0,PM,2020-01-22,0.303951367781155,0.54,Quarter 1,7.0
Austin (TX),Public Assist,Normal,Intact Male,1,Dog,Intact Male,2,German Shepherd,0.0,AM,2020-01-16,0.303951367781155,0.48,Quarter 1,8.0
Austin (TX),Stray,Normal,Spayed Female,96,Dog,Spayed Female,96,Pit Bull,0.0,AM,2017-06-05,0.7575757575757576,0.9,Quarter 2,0.0
Austin (TX),Public Assist,Normal,Intact Female,1,Dog,Spayed Female,1,Chihuahua Shorthair,0.0,PM,2015-04-29,0.32786885245901637,0.48,Quarter 1,91.0
Austin (TX),Stray,Normal,Intact Female,3,Cat,Intact Female,3,Domestic Shorthair,0.0,PM,2017-06-09,0.32786885245901637,0.54,Quarter 2,10.0
Austin (TX),Stray,Normal,Spayed Female,48,Cat,Spayed Female,48,Domestic Longhair,0.0,PM,2017-09-29,0.7575757575757576,0.9,Quarter 3,16.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,Pointer,0.0,PM,2019-06-17,0.32786885245901637,0.54,Quarter 2,8.0
Austin (TX),Stray,Normal,Intact Female,4,Dog,Spayed Female,5,Dachshund,0.0,PM,2014-01-08,0.32786885245901637,0.54,Quarter 1,6.0
Austin (TX),Wildlife,Sick,Unknown,24,Other,Unknown,24,Raccoon,1.0,AM,2016-12-16,1.0101010101010102,0.0,Quarter 3,2.0
Travis (TX),Stray,Normal,Spayed Female,5,Cat,Spayed Female,6,Domestic Shorthair,0.0,PM,2019-08-29,0.7575757575757576,0.9,Quarter 2,10.0
Travis (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2019-05-09,1.0101010101010102,0.0,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Medium Hair,0.0,PM,2019-10-03,0.32786885245901637,0.54,Quarter 3,46.0
Austin (TX),Stray,Injured,Spayed Female,36,Dog,Spayed Female,36,Chihuahua Shorthair,0.0,AM,2014-11-26,0.7575757575757576,0.18000000000000002,Quarter 3,17.0
Travis (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,rare_dog,0.0,PM,2018-09-24,0.32786885245901637,0.54,Quarter 3,71.0
Austin (TX),Stray,Normal,Intact Male,4,Cat,Neutered Male,4,Domestic Shorthair,0.0,AM,2018-09-28,0.303951367781155,0.54,Quarter 3,17.0
Austin (TX),Stray,Other,Spayed Female,36,Cat,Spayed Female,36,Domestic Shorthair,0.0,AM,2017-05-02,0.7575757575757576,0.36000000000000004,Quarter 2,112.0
Travis (TX),Stray,Normal,Intact Female,36,Dog,Intact Female,36,rare_dog,0.0,AM,2019-07-12,0.32786885245901637,0.54,Quarter 2,3.0
Austin (TX),Stray,Normal,Intact Female,24,Cat,Spayed Female,24,Domestic Shorthair,0.0,PM,2017-03-02,0.32786885245901637,0.54,Quarter 1,1.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2018-10-24,0.32786885245901637,0.54,Quarter 3,11.0
Austin (TX),Owner Surrender,Normal,Spayed Female,1,Dog,Spayed Female,1,Pit Bull,0.0,AM,2018-04-02,0.7575757575757576,1.0,Quarter 1,65.0
Travis (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2017-09-24,0.32786885245901637,0.54,Quarter 3,6.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,5,Domestic Shorthair,0.0,PM,2017-08-06,0.303951367781155,0.54,Quarter 2,88.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,3,Domestic Medium Hair,0.0,PM,2017-06-06,0.303951367781155,0.54,Quarter 2,43.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2017-03-03,1.0101010101010102,0.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Spayed Female,84,Cat,Spayed Female,84,Domestic Shorthair,0.0,PM,2017-11-21,0.7575757575757576,0.9,Quarter 3,3.0
Austin (TX),Owner Surrender,Normal,Intact Female,24,Dog,Spayed Female,24,Dachshund,0.0,PM,2019-06-07,0.32786885245901637,0.6,Quarter 2,7.0
Austin (TX),Stray,Normal,Spayed Female,60,Dog,Spayed Female,60,Pit Bull,0.0,AM,2014-09-03,0.7575757575757576,0.9,Quarter 3,162.0
Austin (TX),Stray,Normal,Neutered Male,36,Cat,Neutered Male,36,rare_cat,0.0,PM,2013-12-21,0.7407407407407408,0.9,Quarter 3,8.0
Austin (TX),Owner Surrender,Normal,Neutered Male,60,Dog,Neutered Male,60,rare_dog,0.0,PM,2019-10-16,0.7407407407407408,1.0,Quarter 3,1.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2017-08-03,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Neutered Male,48,Dog,Neutered Male,60,Miniature Poodle,0.0,PM,2015-03-11,0.7407407407407408,0.9,Quarter 1,4.0
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Intact Male,36,German Shepherd,0.0,PM,2016-02-26,0.303951367781155,0.48,Quarter 1,2.0
Austin (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,rare_dog,0.0,PM,2013-12-29,0.7407407407407408,0.9,Quarter 3,10.0
Austin (TX),Owner Surrender,Normal,Neutered Male,60,Dog,Neutered Male,60,Miniature Schnauzer,0.0,AM,2017-02-11,0.7407407407407408,1.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Pit Bull,0.0,AM,2016-02-29,0.303951367781155,0.54,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2019-06-25,0.32786885245901637,0.54,Quarter 2,39.0
Austin (TX),Stray,Normal,Intact Female,4,Dog,Intact Female,4,German Shepherd,0.0,PM,2013-10-14,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,Chihuahua Shorthair,0.0,PM,2016-10-15,0.7407407407407408,0.9,Quarter 3,15.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2016-09-05,0.303951367781155,0.54,Quarter 3,60.0
Austin (TX),Stray,Normal,Intact Male,9,Cat,Neutered Male,11,Domestic Shorthair,0.0,PM,2017-09-30,0.303951367781155,0.54,Quarter 3,73.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,rare_dog,0.0,PM,2019-06-04,0.303951367781155,0.54,Quarter 2,2.0
